event_id,event_ts,event_name,session_id,cookie_id,user_id,email_hash,utm_source,utm_medium,utm_campaign,page_url,device_type,geo_country,geo_city
05d99d89-6920-4569-b99d-62ff8e2615de,2026-01-01T02:19:00,page_view,f44262e1-4d62-4d58-b2a4-81f7fa3486c0,e084f8ce-5b7c-4236-88b7-e356b8beb50d,,,facebook,cpc,fb_camp_1,/landing,mobile,EG,Giza
46213088-3984-423a-b292-685c9b4b159b,2026-01-01T08:08:00,signup,f44262e1-4d62-4d58-b2a4-81f7fa3486c0,e084f8ce-5b7c-4236-88b7-e356b8beb50d,,hash_mail_1,facebook,cpc,fb_camp_1,/signup,desktop,EG,Alex
d5e7c403-d60d-4109-afe9-92aa2bf2eccc,2026-01-01T13:54:00,page_view,5afcff99-f9e0-49c9-9e20-4488283a1fc9,49cd6e3e-b4cd-4eec-b45f-187fe75e3985,,,google,cpc,gg_camp_2,/landing,mobile,EG,Cairo
d9df4355-75cc-4a61-b68a-2edea5903409,2026-01-01T14:43:00,signup,5afcff99-f9e0-49c9-9e20-4488283a1fc9,49cd6e3e-b4cd-4eec-b45f-187fe75e3985,,hash_mail_2,google,cpc,gg_camp_2,/signup,desktop,EG,Giza
057eda7b-f0c3-4f94-99fd-1ec237ad572f,2026-01-01T11:35:00,page_view,426cbefe-18f6-406b-a837-4c0d797c359b,c20669c4-1bdd-44b0-b98d-b7e01b063455,,,facebook,cpc,fb_camp_2,/landing,mobile,EG,Cairo
34849805-5129-4055-970e-2ee82350e0ae,2026-01-01T18:19:00,signup,426cbefe-18f6-406b-a837-4c0d797c359b,c20669c4-1bdd-44b0-b98d-b7e01b063455,,hash_mail_3,facebook,cpc,fb_camp_2,/signup,desktop,EG,Cairo
19b17617-82e2-4de3-9102-972e9757d64b,2026-01-01T01:44:00,page_view,ed34103f-8e02-4dd9-bbb5-8dea79c65784,861a7d5a-00f3-4eca-96b9-de6c4325caa5,,,organic,organic,org_traffic,/landing,mobile,EG,Cairo
498e6892-b5cb-41d4-8277-c56ab6de1d4f,2026-01-01T13:53:00,page_view,da9b61bd-069d-4a52-a543-5eb635dda9f5,f99a1e42-c8f3-4d31-844d-40bc46a830f3,,,google,cpc,gg_camp_1,/landing,desktop,EG,Giza
e8176a7e-046c-48c8-8a1e-be7030e08e8c,2026-01-01T13:42:00,signup,da9b61bd-069d-4a52-a543-5eb635dda9f5,f99a1e42-c8f3-4d31-844d-40bc46a830f3,,hash_mail_4,google,cpc,gg_camp_1,/signup,mobile,EG,Cairo
db924e3d-7a41-4cf6-832d-eace1d84b9eb,2026-01-01T23:47:00,page_view,2fa74a2a-775c-4797-b217-6111b9aecca3,8487966c-3bd1-4d89-a8e2-b399aa1ae9d6,,,email,email,em_camp_1,/landing,desktop,EG,Cairo
6876c016-9b4a-4cf9-8194-7e2ee350c462,2026-01-01T07:26:00,signup,2fa74a2a-775c-4797-b217-6111b9aecca3,8487966c-3bd1-4d89-a8e2-b399aa1ae9d6,,hash_mail_5,email,email,em_camp_1,/signup,mobile,EG,Alex
0d4f3162-9fcf-49fe-9f55-6c15630b2337,2026-01-01T01:43:00,page_view,98c9ee49-7d0a-4501-a735-582d623e9354,733b2530-c473-4094-b3b8-81e6e43c44bc,,,email,email,em_camp_1,/landing,desktop,EG,Alex
28f33bf9-93a0-4eed-a959-beeda3145643,2026-01-01T17:21:00,page_view,0c267c8c-2dec-4c9e-8a24-6557230b8235,a6a02b0a-02e1-4916-bec3-be80879c5367,,,google,cpc,gg_camp_1,/landing,mobile,EG,Cairo
e7376be5-b339-4d76-b6f6-135f17f9fd4b,2026-01-01T02:20:00,signup,0c267c8c-2dec-4c9e-8a24-6557230b8235,a6a02b0a-02e1-4916-bec3-be80879c5367,,hash_mail_6,google,cpc,gg_camp_1,/signup,mobile,EG,Giza
ec04b87a-3915-4d76-be79-ed785408b026,2026-01-01T21:09:00,page_view,6d4fc254-ab9b-4e9f-80ef-36b0597e3718,5fa05b83-2441-4bdf-a289-0ab9ecb0180a,,,google,cpc,gg_camp_1,/landing,mobile,EG,Giza
6a758522-bd0e-4241-8a69-1c67258b5838,2026-01-01T06:59:00,page_view,48c19d88-22df-496d-9fc5-85a02e1b508d,4011dd07-5eea-456c-8c0f-3c153ce35fe1,,,email,email,em_camp_1,/landing,desktop,EG,Cairo
98f79bd2-28a2-4f98-a35b-86b4e0c46d43,2026-01-01T15:37:00,page_view,e4d84e5b-623c-4d63-92a9-4ad3686afbbc,25cab59a-25d1-45ce-962f-a454dea0b01d,,,google,cpc,gg_camp_2,/landing,desktop,EG,Cairo
